Product,Category,Brand,Cost_Price,Sale_Price,order_date,customer_id,Discount_Band,Units Sold,month_num,year,Revenue,Total_Cost,Discount,Discounted_Revenue,Profit
MV7,Dynamic Microphone,Shure,174,199,01-12-2023,Germany,None,15,12,2023,2985,2610,0,2985,375
NT1-A,Condenser Microphone,Rode,160,229,01-12-2023,United States of America,None,6,12,2023,1374,960,0,1374,414
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,Canada,None,18,12,2023,3042,2124,0,3042,918
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,Germany,None,15,12,2023,2535,1770,0,2535,765
QuadCast S,Streaming Microphone,HyperX,97,139,01-12-2023,Canada,None,18,12,2023,2502,1746,0,2502,756
MV7,Dynamic Microphone,Shure,174,199,01-12-2023,France,Low,22,12,2023,4378,3828,0,4378,550
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,France,Low,22,12,2023,3718,2596,0,3718,1122
MV7,Dynamic Microphone,Shure,174,199,01-12-2023,Canada,Low,29,12,2023,5771,5046,0,5771,725
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,Canada,Low,19,12,2023,3211,2242,0,3211,969
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,Canada,Low,29,12,2023,4901,3422,0,4901,1479
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,Canada,Low,27,12,2023,4563,3186,0,4563,1377
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,France,Low,11,12,2023,1859,1298,0,1859,561
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,Mexico,Low,11,12,2023,1859,1298,0,1859,561
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-12-2023,France,Low,11,12,2023,2189,990,0,2189,1199
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-12-2023,Mexico,Low,11,12,2023,2189,990,0,2189,1199
QuadCast S,Streaming Microphone,HyperX,97,139,01-12-2023,Canada,Low,27,12,2023,3753,2619,0,3753,1134
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-12-2023,Canada,Low,19,12,2023,2831,1976,0,2831,855
NT1-A,Condenser Microphone,Rode,160,229,01-12-2023,France,Low,13,12,2023,2977,2080,0,2977,897
NT1-A,Condenser Microphone,Rode,160,229,01-12-2023,Germany,Low,17,12,2023,3893,2720,0,3893,1173
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,France,Low,13,12,2023,2197,1534,0,2197,663
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,Germany,Low,17,12,2023,2873,2006,0,2873,867
MV7,Dynamic Microphone,Shure,174,199,01-12-2023,United States of America,Low,3,12,2023,597,522,0,597,75
NT1-A,Condenser Microphone,Rode,160,229,01-12-2023,Mexico,Low,11,12,2023,2519,1760,0,2519,759
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,United States of America,Low,3,12,2023,507,354,0,507,153
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,Mexico,Low,11,12,2023,1859,1298,0,1859,561
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,Canada,Medium,24,12,2023,4056,2832,0,4056,1224
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-12-2023,Canada,Medium,24,12,2023,4776,2160,0,4776,2616
MV7,Dynamic Microphone,Shure,174,199,01-12-2023,United States of America,Medium,6,12,2023,1194,1044,0,1194,150
MV7,Dynamic Microphone,Shure,174,199,01-12-2023,France,Medium,25,12,2023,4975,4350,0,4975,625
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,United States of America,Medium,27,12,2023,4563,3186,0,4563,1377
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-12-2023,Germany,Medium,13,12,2023,2587,1170,0,2587,1417
QuadCast S,Streaming Microphone,HyperX,97,139,01-12-2023,United States of America,Medium,27,12,2023,3753,2619,0,3753,1134
QuadCast S,Streaming Microphone,HyperX,97,139,01-12-2023,United States of America,Medium,6,12,2023,834,582,0,834,252
QuadCast S,Streaming Microphone,HyperX,97,139,01-12-2023,France,Medium,25,12,2023,3475,2425,0,3475,1050
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-12-2023,Germany,Medium,13,12,2023,1937,1352,0,1937,585
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-12-2023,Canada,Medium,16,12,2023,3184,1440,0,3184,1744
QuadCast S,Streaming Microphone,HyperX,97,139,01-12-2023,Canada,Medium,16,12,2023,2224,1552,0,2224,672
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-12-2023,United States of America,Medium,14,12,2023,2786,1260,0,2786,1526
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-12-2023,United States of America,Medium,14,12,2023,2086,1456,0,2086,630
MV7,Dynamic Microphone,Shure,174,199,01-12-2023,Mexico,Medium,14,12,2023,2786,2436,0,2786,350
NT1-A,Condenser Microphone,Rode,160,229,01-12-2023,Germany,Medium,7,12,2023,1603,1120,0,1603,483
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,Mexico,Medium,14,12,2023,2366,1652,0,2366,714
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-12-2023,Mexico,Medium,6,12,2023,1194,540,0,1194,654
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-12-2023,Germany,Medium,7,12,2023,1043,728,0,1043,315
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-12-2023,Mexico,Medium,6,12,2023,894,624,0,894,270
NT1-A,Condenser Microphone,Rode,160,229,01-12-2023,United States of America,Medium,28,12,2023,6412,4480,0,6412,1932
Scarlett 2i2,Audio Interface,Focusrite,118,169,01-12-2023,United States of America,Medium,28,12,2023,4732,3304,0,4732,1428
MV7,Dynamic Microphone,Shure,174,199,01-12-2023,Mexico,Medium,5,12,2023,995,870,0,995,125
QuadCast S,Streaming Microphone,HyperX,97,139,01-12-2023,Mexico,Medium,5,12,2023,695,485,0,695,210
NT1-A,Condenser Microphone,Rode,160,229,01-12-2023,France,High,21,12,2023,4809,3360,0,4809,1449
AudioBox USB 96 Studio,Recording Bundle,PreSonus,90,199,01-12-2023,France,High,9,12,2023,1791,810,0,1791,981
Arctis 7P+,Wireless Gaming Headset,SteelSeries,104,149,01-12-2023,France,High,21,12,2023,3129,2184,0,3129,945
